"Project","Amount.Raised.in.ICO...M.","ICO.Close.Date","Page.count","Amount.Raised.per.Page...M."
"Jibrel Network","$30.00","1/1/18","7","$4"
"Bloom ","$40.00","1/1/18","17","$2.35"
"Spectiv","$7.61","1/1/18","41","$0.19"
"Lamden ","$10.00","1/3/18","15","$0.67"
"Zilliqa ","$22.00","1/4/18","16","$1.38"
"trade.io","$31.17","1/4/18","35","$0.89"
"Theta ","$20.00","1/4/18","37","$0.54"
"Zipper","$3.20","1/4/18","29","$0.11"
"CyberTrust ","$17.60","1/5/18","39","$0.45"
"GatCoin","$14.50","1/5/18","33","$0.44"
"Gameflip ","$16.10","1/5/18","42","$0.38"
"Crypterium ","$51.66","1/6/18","36","$1.44"
"ShipChain ","$30.00","1/6/18","29","$1.03"
"Neuromation","$71.67","1/8/18","36","$1.99"
"SwissBorg ","$51.90","1/10/18","33","$1.57"
"Block.Array ","$14.40","1/10/18","33","$0.44"
"CoinFi ","$15.00","1/10/18","40","$0.38"
"Cypherium","$25.00","1/11/18","19","$1.32"
"Devery ","$10.00","1/11/18","11","$0.91"
"HOQU ","$18.70","1/11/18","55","$0.34"
"Adshares ","$12.00","1/12/18","14","$0.86"
"AXpire ","$20.00","1/12/18","24","$0.83"
"Fort Knoxster ","$15.00","1/12/18","50","$0.30"
"Latium ","$14.00","1/13/18","19","$0.74"
"LaLa World ","$20.20","1/13/18","36","$0.56"
"Olympus Labs ","$60.00","1/14/18","28","$2.14"
"Envion","$100.00","1/14/18","61","$1.64"
"Trinity ","$20.00","1/14/18","20","$1.00"
"SelfKey","$21.78","1/14/18","29","$0.75"
"AdBank ","$14.00","1/14/18","56","$0.25"
"BitMart ","$6.30","1/14/18","36","$0.18"
"MAD Network","$25.00","1/15/18","23","$1.09"
"Covesting","$18.75","1/15/18","40","$0.47"
"Thekey.vip","$22.00","1/15/18","50","$0.44"
"Aurora ","$5.30","1/15/18","24","$0.22"
"SRG","$3.16","1/15/18","42","$0.08"
"CarVertical ","$19.90","1/16/18","49","$0.41"
"Pareto ","$10.00","1/16/18","27","$0.37"
"InsurePal ","$18.00","1/16/18","50","$0.36"
"Boon.Tech","$5.00","1/16/18","62","$0.08"
"OriginTrail ","$22.50","1/17/18","27","$0.83"
"MatrixChain ","$12.60","1/17/18","21","$0.60"
"TokenPay ","$28.68","1/17/18","60","$0.48"
"Mobius ","$39.00","1/18/18","38","$1.03"
"Bluzelle ","$19.50","1/20/18","42","$0.46"
"DATA ","$38.00","1/21/18","34","$1.12"
"PundiX ","$35.00","1/21/18","38","$0.92"
"FORTUNA","$2.00","1/21/18","47","$0.04"
"Ink Protocol","$15.00","1/22/18","20","$0.75"
"CVProof ","$15.00","1/22/18","33","$0.45"
"Restart Energy Democracy ","$30.00","1/22/18","89","$0.34"
"Elastos ","$70.00","1/23/18","25","$3"
"Odyssey","$50.00","1/23/18","40","$1.25"
"CPChain","$30.00","1/24/18","34","$0.88"
"Blockport ","$15.00","1/24/18","32","$0.47"
"FluzFluz ","$20.48","1/24/18","87","$0.24"
"Experty ","$9.50","1/26/18","40","$0.24"
"Hade","$4.14","1/26/18","45","$0.09"
"Qlink","$19.27","1/27/18","34","$0.57"
"Nucleus.Vision","$40.00","1/28/18","60","$0.67"
"LiveEdu","$10.00","1/28/18","27","$0.37"
"Sharpe Capital ","$6.73","1/28/18","55","$0.12"
"Zeepin ","$60.84","1/29/18","37","$1.64"
"APEX","$25.00","1/29/18","31","$0.81"
"Storiqa ","$25.00","1/29/18","40","$0.63"
"dadi","$29.00","1/29/18","69","$0.42"
"AMLT","$19.04","1/30/18","55","$0.35"
"iungo","$45.98","1/31/18","25","$1.84"
"SPiCE VC ","$40.00","1/31/18","33","$1.21"
"Titanium Blockchain Infrastructure Services ","$35.00","1/31/18","33","$1.06"
"LoyalCoin ","$13.25","1/31/18","29","$0.46"
"ModulTrade ","$11.60","1/31/18","30","$0.39"
"CRYCASH","$7.76","1/31/18","24","$0.32"
"Coin Lion ","$7.00","1/31/18","26","$0.27"
"Crowdwiz ","$7.23","1/31/18","46","$0.16"
"Legolas Exchange ","$35.00","2/1/18","35","$1.00"
"WePower","$40.00","2/1/18","45","$0.89"
"AidCoin","$18.63","2/1/18","29","$0.64"
"MedicalChain","$24.00","2/1/18","42","$0.57"
"Energi Token ","$15.00","2/1/18","33","$0.45"
"LH-Crypto","$10.81","2/1/18","39","$0.28"
"Bee Token ","$15.00","2/2/18","30","$0.50"
"Digitex Futures Exchange ","$7.00","2/2/18","27","$0.26"
"Republic Protocol ","$34.00","2/3/18","15","$2.27"
"ArcBlock ","$45.00","2/4/18","28","$1.61"
"Inspeer","$2.00","2/5/18","34","$0.06"
"DataWallet ","$40.00","2/6/18","35","$1.14"
"Current ","$36.00","2/7/18","43","$0.84"
"Gibraltar Blockchain Exchange ","$27.00","2/7/18","48","$0.56"
"FuzeX","$36.25","2/8/18","24","$1.51"
"Refereum","$32.25","2/8/18","31","$1.04"
"Luna ","$12.00","2/8/18","20","$0.60"
"GBX","$27.00","2/8/18","48","$0.56"
"Insights Network ","$17.40","2/9/18","22","$0.79"
"Dether","$13.44","2/9/18","41","$0.33"
